legajo;dni;nombre;telefono;email;calle;codigo_postal;ciudad;provincia
491464;15.159.518;Gallego Ines;+5493546921488;Gallego.Ines3@gmeil.com;Saavedra1278;6607;a Olga;Mendoza
274443;31.985.999;Laura Juan;+5493337510018;Laura.Juan3@gmeil.com;Saavedra2277;6560;v Tano;Corrientes
275565;49.734.907;Oscar Ruso;+5493358218506;Oscar.Ruso3@gmeil.com;Artigas5514;9083;t Juan;San Luis
469763;11.341.744;Piamontes Oscar;+5493575349978;Piamontes.Oscar@gmeil.com;San Martin1598;4775;M Ruso;Cordoba
100088;24.486.460;Santiago Santiago;+5493448962900;Santiago.Santiago2@gmeil.com;Juan6778;5240;7 Pedro;San Luis
141657;12.740.449;Olga Ines;+5493608577281;Olga.Ines1@gmeil.com;Juan7553;4298;5 Tano;Cordoba
350685;20.694.399;Ruso Pedro;+5493405762243;Ruso.Pedro@gmeil.com;Belgrano9131;9626;n Pedro;CABA
392865;20.478.131;Ruso Ruso;+5493365178537;Ruso.Ruso@gmeil.com;Corro281;4029;r Ruso;CABA
499279;12.980.691;Juan Oscar;+5493306145441;Juan.Oscar4@gmeil.com;Corte2258;5575;e Piamontes;Santa Fe
545658;11.772.602;Piamontes Gallego;+5493365647524;Piamontes.Gallego@gmeil.com;Paso6687;8883;8 Olga;Chaco
36994;16.305.328;Ines Ines;+5493588804314;Ines.Ines5@gmeil.com;Corro7111;8985;C Tano;Santa Fe
529044;40.197.400;Laura Tano;+5493538055050;Laura.Tano4@gmeil.com;Artigas903;8789;s Ines;Santa Fe
303488;26.172.705;Olga Turco;+5493345219971;Olga.Turco2@gmeil.com;Corte6115;5580;C Ruso;Buenos Aires
404233;38.803.701;Laura Turco;+5493517370251;Laura.Turco@gmeil.com;Corro5509;7983;5 Tano;CABA
139972;28.145.925;Tano Laura;+5493437380605;Tano.Laura1@gmeil.com;Artigas7373;8504;s Turco;Chaco
409662;31.784.822;Ines Pedro;+5493366488247;Ines.Pedro1@gmeil.com;Corro6012;4695;0 Juan;Santa Fe
353991;35.829.177;Ines Polaco;+5493317927592;Ines.Polaco1@gmeil.com;Manga3363;6315;6 Oscar;Misiones
295724;26.519.975;Santiago Oscar;+5493475977796;Santiago.Oscar@gmeil.com;Manga5593;6822;9 Turco;Cordoba
266531;34.946.170;Ines Oscar;+5493398387359;Ines.Oscar1@gmeil.com;Corro111;9219;r Pedro;Santa Fe
258959;24.131.923;Piamontes Piamontes;+5493488812936;Piamontes.Piamontes2@gmeil.com;Juan7105;9980;u Gallego;San Luis
505319;13.665.460;Santiago Polaco;+5493415383952;Santiago.Polaco@gmeil.com;Velez Sarsfield5734;6706;V Oscar;Buenos Aires
361527;23.353.160;Tano Oscar;+5493387456280;Tano.Oscar3@gmeil.com;Juan7875;5319;J Gallego;Chaco
152102;13.346.925;Olga Pedro;+5493475150756;Olga.Pedro4@gmeil.com;Manga6953;7034;6 Olga;Santa Fe
501397;40.954.485;Polaco Piamontes;+5493568107321;Polaco.Piamontes@gmeil.com;Manga7965;4370;a Santiago;Santa Fe
556870;17.212.416;Laura Turco;+5493607244412;Laura.Turco2@gmeil.com;Corro4272;6132;r Ines;Mendoza
182660;46.749.352;Oscar Ines;+5493586501794;Oscar.Ines3@gmeil.com;Velez Sarsfield8417;4279;l Oscar;Mendoza
266612;30.383.556;Ines Santiago;+5493316259575;Ines.Santiago1@gmeil.com;Belgrano6398;5738;o Tano;Buenos Aires
39770;39.911.623;Polaco Ines;+5493546119313;Polaco.Ines1@gmeil.com;San Martin2573;8094;S Pedro;Corrientes
431075;49.154.783;Laura Ruso;+5493356440754;Laura.Ruso2@gmeil.com;San Martin6294;5336;i Laura;San Luis
